order_id,user_id,city,ordered_place_time,ordered_deliver_time,sku_id,sku_category,qty,price,store_id,rider_id,zone,cust_lat,cust_long,status,delivery_minutes,hour,date,store_lat,store_lon,store_rent
O0000049,U025937,Bengaluru,30-10-2025 20:56,30-10-2025 21:05,P0096,fruits,2,451.12,S03,R0056,Z14,12.952134,77.58987,delivered,9,20,30-10-2025,12.950051,77.59937,111200
O0000050,U006795,Bengaluru,28-11-2025 20:35,28-11-2025 20:48,P0071,beverages,1,268.55,S03,R0272,Z5,12.969208,77.598895,delivered,13,20,28-11-2025,12.950051,77.59937,111200
O0000051,U021353,Bengaluru,02-11-2025 19:43,02-11-2025 19:54,P0096,fruits,1,451.12,S03,R0481,Z22,12.940078,77.604903,delivered,11,19,02-11-2025,12.950051,77.59937,111200
O0000052,U023610,Bengaluru,15-11-2025 18:19,15-11-2025 18:28,P0023,personal_care,2,135.26,S02,R0504,Z24,13.003168,77.613674,delivered,9,18,15-11-2025,13.006367,77.602729,86203
O0000053,U029483,Bengaluru,27-11-2025 19:15,27-11-2025 19:19,P0023,personal_care,2,135.26,S06,R0911,Z5,12.97523,77.590399,delivered,4,19,27-11-2025,12.976327,77.585333,70255
O0000054,U005659,Bengaluru,18-11-2025 20:10,18-11-2025 20:19,P0039,grocery,3,352.5,S07,R0698,Z3,12.980123,77.549956,delivered,9,20,18-11-2025,12.970112,77.556587,44195
O0000055,U005981,Bengaluru,06-11-2025 07:05,06-11-2025 07:13,P0118,dairy,1,403.54,S02,R0203,Z20,13.0047,77.591081,delivered,8,7,06-11-2025,13.006367,77.602729,86203
O0000056,U034089,Bengaluru,06-11-2025 17:13,06-11-2025 17:23,P0093,grocery,2,261.26,S03,R0847,Z24,12.958861,77.598443,delivered,10,17,06-11-2025,12.950051,77.59937,111200
O0000057,U010663,Bengaluru,11-11-2025 06:35,11-11-2025 06:40,P0058,snacks,1,559.96,S08,R0653,Z26,12.953709,77.551123,delivered,5,6,11-11-2025,12.950394,77.558158,51894
O0000058,U005386,Bengaluru,13-11-2025 06:20,13-11-2025 06:29,P0011,snacks,3,302.34,S05,R0720,Z2,13.008044,77.57367,delivered,9,6,13-11-2025,13.001428,77.581822,85507
O0000059,U008322,Bengaluru,28-11-2025 07:09,28-11-2025 07:21,P0111,beverages,1,156.42,S02,R0779,Z13,13.010056,77.594567,delivered,12,7,28-11-2025,13.006367,77.602729,86203
O0000060,U020044,Bengaluru,18-11-2025 10:04,18-11-2025 10:19,P0060,household,2,185.15,S06,R0851,Z28,12.974468,77.584525,delivered,15,10,18-11-2025,12.976327,77.585333,70255
O0000061,U005266,Bengaluru,26-11-2025 16:45,26-11-2025 16:49,P0004,household,3,118.23,S07,R0464,Z16,12.964987,77.561039,delivered,4,16,26-11-2025,12.970112,77.556587,44195
O0000062,U035727,Bengaluru,10-11-2025 19:26,10-11-2025 19:37,P0095,personal_care,3,199.58,S05,R0438,Z3,12.990304,77.576709,delivered,11,19,10-11-2025,13.001428,77.581822,85507
O0000063,U039176,Bengaluru,19-11-2025 14:12,19-11-2025 14:17,P0020,fruits,1,119.14,S02,R0087,Z11,13.010647,77.609292,delivered,5,14,19-11-2025,13.006367,77.602729,86203
O0000064,U014673,Bengaluru,04-11-2025 21:09,04-11-2025 21:15,P0069,household,2,533.84,S01,R0273,Z25,12.951049,77.619835,delivered,6,21,04-11-2025,12.949887,77.614547,101404
O0000065,U025400,Bengaluru,07-11-2025 13:34,07-11-2025 13:39,P0014,fruits,1,480.66,S04,R0335,Z22,12.950146,77.619302,delivered,5,13,07-11-2025,12.942007,77.616026,75662
O0000066,U010654,Bengaluru,23-11-2025 14:43,23-11-2025 14:48,P0062,personal_care,3,279.87,S05,R0063,Z18,13.002095,77.57387,delivered,5,14,23-11-2025,13.001428,77.581822,85507
O0000067,U025570,Bengaluru,28-11-2025 17:41,28-11-2025 17:53,P0056,beverages,1,520.86,S02,R0368,Z24,13.006751,77.589347,delivered,12,17,28-11-2025,13.006367,77.602729,86203
O0000068,U039361,Bengaluru,09-11-2025 19:00,09-11-2025 19:17,P0058,snacks,2,533.3,S07,R0976,Z20,12.955633,77.54987,delivered,17,19,09-11-2025,12.970112,77.556587,44195
O0000069,U024593,Bengaluru,06-11-2025 17:32,06-11-2025 17:40,P0088,household,2,63.4,S05,R0432,Z23,13.013629,77.587094,delivered,8,17,06-11-2025,13.001428,77.581822,85507
O0000070,U017965,Bengaluru,19-11-2025 07:48,19-11-2025 07:52,P0048,snacks,3,396.66,S07,R0344,Z14,12.97181,77.559486,delivered,4,7,19-11-2025,12.970112,77.556587,44195
O0000071,U011383,Bengaluru,27-11-2025 08:18,27-11-2025 08:27,P0115,fruits,2,88.22,S08,R0192,Z23,12.937962,77.553373,delivered,9,8,27-11-2025,12.950394,77.558158,51894
O0000072,U018498,Bengaluru,07-11-2025 00:45,07-11-2025 00:48,P0092,household,1,501.33,S07,R0397,Z1,12.965633,77.555398,delivered,3,0,07-11-2025,12.970112,77.556587,44195
O0000073,U017963,Bengaluru,09-11-2025 10:14,09-11-2025 10:21,P0058,snacks,2,533.3,S08,R0065,Z18,12.948585,77.552521,delivered,7,10,09-11-2025,12.950394,77.558158,51894
O0000074,U039937,Bengaluru,05-11-2025 06:43,05-11-2025 06:51,P0009,household,3,303.41,S02,R0644,Z19,13.013636,77.589876,delivered,8,6,05-11-2025,13.006367,77.602729,86203
O0000075,U015934,Bengaluru,06-11-2025 14:24,06-11-2025 14:29,P0023,personal_care,2,128.5,S05,R0800,Z4,13.00075,77.590996,delivered,5,14,06-11-2025,13.001428,77.581822,85507
O0000076,U018154,Bengaluru,25-11-2025 21:32,25-11-2025 21:44,P0046,snacks,2,335.9,S05,R0096,Z12,12.991432,77.585308,delivered,12,21,25-11-2025,13.001428,77.581822,85507
O0000077,U036865,Bengaluru,05-11-2025 03:15,05-11-2025 03:25,P0073,personal_care,3,354.59,S05,R0176,Z12,13.005322,77.566345,delivered,10,3,05-11-2025,13.001428,77.581822,85507
O0000078,U038951,Bengaluru,02-11-2025 06:20,02-11-2025 06:28,P0014,fruits,3,480.66,S04,R0309,Z8,12.936433,77.602362,delivered,8,6,02-11-2025,12.942007,77.616026,75662
O0000079,U004265,Bengaluru,01-11-2025 08:11,01-11-2025 08:21,P0119,snacks,3,259.04,S01,R0527,Z27,12.958407,77.61467,delivered,10,8,01-11-2025,12.949887,77.614547,101404
O0000080,U017262,Bengaluru,19-11-2025 08:05,19-11-2025 08:18,P0029,grocery,1,418.26,S05,R0269,Z28,13.016185,77.585058,delivered,13,8,19-11-2025,13.001428,77.581822,85507
O0000081,U039061,Bengaluru,30-10-2025 16:52,30-10-2025 17:04,P0044,grocery,2,229.97,S02,R0157,Z3,13.010041,77.61069,delivered,12,16,30-10-2025,13.006367,77.602729,86203
O0000082,U017888,Bengaluru,23-11-2025 22:55,23-11-2025 23:02,P0106,beverages,1,328.31,S05,R0957,Z8,12.999606,77.576687,delivered,7,22,23-11-2025,13.001428,77.581822,85507
O0000083,U031458,Bengaluru,07-11-2025 19:01,07-11-2025 19:14,P0082,personal_care,2,486.68,S01,R0839,Z5,12.93609,77.615871,delivered,13,19,07-11-2025,12.949887,77.614547,101404
O0000084,U008974,Bengaluru,08-11-2025 15:03,08-11-2025 15:09,P0027,snacks,1,100.31,S06,R0731,Z29,12.973646,77.594568,delivered,6,15,08-11-2025,12.976327,77.585333,70255
O0000085,U010539,Bengaluru,08-11-2025 16:49,08-11-2025 16:58,P0100,beverages,1,63.86,S08,R0703,Z15,12.944317,77.568721,delivered,9,16,08-11-2025,12.950394,77.558158,51894
O0000086,U016804,Bengaluru,20-11-2025 21:16,20-11-2025 21:30,P0020,fruits,1,113.47,S08,R0607,Z14,12.968937,77.561141,delivered,14,21,20-11-2025,12.950394,77.558158,51894
O0000087,U005901,Bengaluru,19-11-2025 22:31,19-11-2025 22:39,P0016,household,1,198.9,S06,R0632,Z8,12.98527,77.585287,delivered,8,22,19-11-2025,12.976327,77.585333,70255
O0000088,U020625,Bengaluru,24-11-2025 19:09,24-11-2025 19:28,P0060,household,3,185.15,S05,R0311,Z9,13.016175,77.567862,delivered,19,19,24-11-2025,13.001428,77.581822,85507
O0000089,U031728,Bengaluru,09-11-2025 22:52,09-11-2025 22:59,P0031,snacks,3,555.83,S02,R0508,Z23,12.996121,77.603418,delivered,7,22,09-11-2025,13.006367,77.602729,86203
O0000090,U029426,Bengaluru,26-11-2025 05:33,26-11-2025 05:45,P0070,personal_care,2,247.98,S02,R0471,Z8,12.999134,77.602368,delivered,12,5,26-11-2025,13.006367,77.602729,86203
O0000091,U009331,Bengaluru,28-11-2025 08:58,28-11-2025 09:18,P0054,fruits,3,383.34,S05,R0456,Z1,13.013872,77.599141,delivered,20,8,28-11-2025,13.001428,77.581822,85507
O0000092,U028008,Bengaluru,30-10-2025 18:20,30-10-2025 18:26,P0102,grocery,2,493.88,S08,R0110,Z21,12.945009,77.565531,delivered,6,18,30-10-2025,12.950394,77.558158,51894
O0000093,U014928,Bengaluru,08-11-2025 20:58,08-11-2025 21:07,P0046,snacks,3,335.9,S04,R0912,Z20,12.947978,77.625418,delivered,9,20,08-11-2025,12.942007,77.616026,75662
O0000094,U021826,Bengaluru,30-10-2025 04:30,30-10-2025 04:43,P0052,grocery,1,161.95,S02,R0085,Z28,13.026266,77.611489,delivered,13,4,30-10-2025,13.006367,77.602729,86203
O0000095,U035305,Bengaluru,16-11-2025 09:47,16-11-2025 10:00,P0063,beverages,2,289.58,S01,R0367,Z1,12.94142,77.625218,delivered,13,9,16-11-2025,12.949887,77.614547,101404
O0000096,U013589,Bengaluru,01-11-2025 16:08,01-11-2025 16:15,P0054,fruits,1,383.34,S02,R0882,Z12,12.994616,77.601409,canceled,7,16,01-11-2025,13.006367,77.602729,86203
O0000097,U016913,Bengaluru,18-11-2025 07:45,18-11-2025 07:51,P0102,grocery,2,469.19,S03,R0590,Z18,12.953564,77.605091,delivered,6,7,18-11-2025,12.950051,77.59937,111200
O0000098,U014349,Bengaluru,14-11-2025 09:09,14-11-2025 09:19,P0013,beverages,3,85.23,S01,R0603,Z11,12.939256,77.608708,delivered,10,9,14-11-2025,12.949887,77.614547,101404
O0000099,U035140,Bengaluru,02-11-2025 07:34,02-11-2025 07:41,P0119,snacks,1,234.36,S08,R0205,Z13,12.95198,77.568818,delivered,7,7,02-11-2025,12.950394,77.558158,51894
O0000100,U038808,Bengaluru,03-11-2025 10:22,03-11-2025 10:32,P0076,household,3,269.98,S07,R0927,Z14,12.970717,77.567286,delivered,10,10,03-11-2025,12.970112,77.556587,44195
O0000101,U000649,Bengaluru,22-11-2025 21:43,22-11-2025 21:57,P0078,beverages,3,281.56,S08,R0141,Z17,12.935579,77.552331,delivered,14,21,22-11-2025,12.950394,77.558158,51894
O0000102,U017341,Bengaluru,14-11-2025 09:42,14-11-2025 09:49,P0071,beverages,2,268.55,S05,R0946,Z29,13.008119,77.576532,delivered,7,9,14-11-2025,13.001428,77.581822,85507
O0000103,U032704,Bengaluru,21-11-2025 14:41,21-11-2025 14:52,P0097,dairy,3,256.2,S06,R0988,Z18,12.973832,77.578631,delivered,11,14,21-11-2025,12.976327,77.585333,70255
O0000104,U016978,Bengaluru,27-11-2025 18:28,27-11-2025 18:40,P0083,snacks,2,138.18,S08,R0827,Z2,12.961443,77.571507,delivered,12,18,27-11-2025,12.950394,77.558158,51894
O0000105,U022587,Bengaluru,02-11-2025 16:58,02-11-2025 17:03,P0026,grocery,3,202.47,S07,R0502,Z8,12.97229,77.548604,delivered,5,16,02-11-2025,12.970112,77.556587,44195
O0000106,U010530,Bengaluru,10-11-2025 09:23,10-11-2025 09:36,P0086,grocery,1,449.42,S08,R0193,Z12,12.963461,77.563795,delivered,13,9,10-11-2025,12.950394,77.558158,51894
O0000107,U025550,Bengaluru,23-11-2025 06:42,23-11-2025 06:46,P0099,fruits,2,413.55,S05,R0074,Z29,13.000546,77.581957,delivered,4,6,23-11-2025,13.001428,77.581822,85507
O0000108,U005233,Bengaluru,11-11-2025 07:02,11-11-2025 07:12,P0020,fruits,3,113.47,S04,R0790,Z21,12.943994,77.625008,delivered,10,7,11-11-2025,12.942007,77.616026,75662
O0000109,U002605,Bengaluru,24-11-2025 08:08,24-11-2025 08:19,P0081,beverages,3,228.73,S08,R0271,Z15,12.960059,77.56023,canceled,11,8,24-11-2025,12.950394,77.558158,51894
O0000110,U035113,Bengaluru,20-11-2025 13:59,20-11-2025 14:04,P0037,grocery,3,460.03,S02,R0701,Z15,13.011888,77.596279,delivered,5,13,20-11-2025,13.006367,77.602729,86203
O0000111,U004637,Bengaluru,05-11-2025 18:15,05-11-2025 18:21,P0098,fruits,1,302.76,S08,R0704,Z18,12.95132,77.564034,delivered,6,18,05-11-2025,12.950394,77.558158,51894
O0000112,U038101,Bengaluru,18-11-2025 20:01,18-11-2025 20:18,P0062,personal_care,1,293.86,S05,R0685,Z15,13.02396,77.582016,delivered,17,20,18-11-2025,13.001428,77.581822,85507
O0000113,U008245,Bengaluru,27-11-2025 16:46,27-11-2025 16:51,P0045,fruits,1,474.22,S06,R0187,Z12,12.968264,77.584648,delivered,5,16,27-11-2025,12.976327,77.585333,70255
O0000114,U015062,Bengaluru,12-11-2025 11:11,12-11-2025 11:18,P0071,beverages,3,268.55,S04,R0596,Z1,12.949489,77.617231,delivered,7,11,12-11-2025,12.942007,77.616026,75662
O0000115,U007003,Bengaluru,27-11-2025 15:31,27-11-2025 15:35,P0038,grocery,3,525.37,S03,R0485,Z1,12.953256,77.597353,canceled,4,15,27-11-2025,12.950051,77.59937,111200
O0000116,U034663,Bengaluru,24-11-2025 18:18,24-11-2025 18:21,P0094,snacks,3,293.81,S05,R0130,Z27,13.001186,77.581205,delivered,3,18,24-11-2025,13.001428,77.581822,85507
O0000117,U007927,Bengaluru,14-11-2025 17:56,14-11-2025 18:05,P0058,snacks,2,533.3,S06,R0339,Z24,12.978208,77.57427,delivered,9,17,14-11-2025,12.976327,77.585333,70255
O0000118,U007209,Bengaluru,05-11-2025 10:18,05-11-2025 10:31,P0051,household,2,542.13,S05,R0386,Z7,12.993693,77.588648,delivered,13,10,05-11-2025,13.001428,77.581822,85507
O0000119,U006790,Bengaluru,28-11-2025 05:31,28-11-2025 05:42,P0014,fruits,3,480.66,S03,R0458,Z10,12.939208,77.601621,delivered,11,5,28-11-2025,12.950051,77.59937,111200
O0000120,U007741,Bengaluru,21-11-2025 08:44,21-11-2025 08:51,P0038,grocery,1,525.37,S06,R0994,Z26,12.970195,77.587362,delivered,7,8,21-11-2025,12.976327,77.585333,70255
O0000121,U015835,Bengaluru,10-11-2025 10:03,10-11-2025 10:17,P0020,fruits,3,119.14,S07,R0892,Z20,12.965708,77.541234,delivered,14,10,10-11-2025,12.970112,77.556587,44195
O0000122,U003265,Bengaluru,28-11-2025 12:23,28-11-2025 12:33,P0010,grocery,1,157.77,S03,R0248,Z7,12.938567,77.603743,delivered,10,12,28-11-2025,12.950051,77.59937,111200
O0000123,U023501,Bengaluru,14-11-2025 17:04,14-11-2025 17:10,P0088,household,3,66.57,S03,R0617,Z26,12.951839,77.599023,delivered,6,17,14-11-2025,12.950051,77.59937,111200
O0000124,U020058,Bengaluru,07-11-2025 21:35,07-11-2025 21:47,P0091,personal_care,3,587.82,S05,R0182,Z15,12.997309,77.593392,delivered,12,21,07-11-2025,13.001428,77.581822,85507
O0000125,U032239,Bengaluru,18-11-2025 14:47,18-11-2025 15:00,P0064,beverages,2,428.13,S02,R0872,Z19,13.014331,77.600965,delivered,13,14,18-11-2025,13.006367,77.602729,86203
O0000126,U033679,Bengaluru,30-10-2025 20:06,30-10-2025 20:17,P0068,snacks,2,122.2,S02,R0520,Z28,13.002072,77.593252,delivered,11,20,30-10-2025,13.006367,77.602729,86203
O0000127,U022750,Bengaluru,08-11-2025 00:55,08-11-2025 01:00,P0016,household,2,189.43,S01,R0648,Z20,12.949372,77.617694,delivered,5,0,08-11-2025,12.949887,77.614547,101404
O0000128,U008225,Bengaluru,13-11-2025 21:44,13-11-2025 21:55,P0025,dairy,1,19.52,S03,R0498,Z10,12.946224,77.587964,delivered,11,21,13-11-2025,12.950051,77.59937,111200
O0000129,U021250,Bengaluru,03-11-2025 02:43,03-11-2025 02:48,P0046,snacks,3,335.9,S01,R0535,Z11,12.955724,77.608426,delivered,5,2,03-11-2025,12.949887,77.614547,101404
O0000130,U007314,Bengaluru,08-11-2025 01:34,08-11-2025 01:41,P0105,snacks,2,538.04,S01,R0937,Z10,12.949506,77.604921,delivered,7,1,08-11-2025,12.949887,77.614547,101404
O0000131,U002801,Bengaluru,17-11-2025 19:47,17-11-2025 19:57,P0059,dairy,3,333.18,S04,R0376,Z26,12.945678,77.618717,delivered,10,19,17-11-2025,12.942007,77.616026,75662
O0000132,U003032,Bengaluru,31-10-2025 12:22,31-10-2025 12:29,P0034,fruits,3,355.38,S02,R0690,Z9,13.002949,77.60007,delivered,7,12,31-10-2025,13.006367,77.602729,86203
O0000133,U036461,Bengaluru,21-11-2025 08:18,21-11-2025 08:29,P0112,grocery,1,190.02,S07,R0312,Z23,12.975828,77.570305,delivered,11,8,21-11-2025,12.970112,77.556587,44195
O0000134,U012354,Bengaluru,03-11-2025 15:10,03-11-2025 15:17,P0048,snacks,3,396.66,S01,R0782,Z28,12.945711,77.608148,delivered,7,15,03-11-2025,12.949887,77.614547,101404
O0000135,U025893,Bengaluru,26-11-2025 12:08,26-11-2025 12:18,P0066,fruits,2,488.51,S08,R0324,Z23,12.950192,77.571698,delivered,10,12,26-11-2025,12.950394,77.558158,51894
O0000136,U026367,Bengaluru,17-11-2025 17:49,17-11-2025 17:53,P0119,snacks,1,246.7,S07,R0185,Z3,12.973339,77.556142,delivered,4,17,17-11-2025,12.970112,77.556587,44195
